2017-07-29 22:12:03,962 |http-bio-8080-exec-5 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-29 22:12:03,962 |http-bio-8080-exec-3 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-29 22:12:04,199 |http-bio-8080-exec-5 |Formula1Helper                |I| Connected database successfully...
2017-07-29 22:12:04,199 |http-bio-8080-exec-3 |Formula1Helper                |I| Connected database successfully...
2017-07-29 22:12:04,205 |http-bio-8080-exec-3 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-29 22:12:04,206 |http-bio-8080-exec-3 |Formula1Helper                |I| =========f1ScheduleMap========={date=2017-06-18T18:30:00.000Z, country=India, race_type_id=MAINRACE, city=Noida, name=Indian Grand Prix, time=2017-06-18T06:00:06.564Z, formula_one_id=1}
2017-07-29 22:12:04,206 |http-bio-8080-exec-3 |Formula1Helper                |I| =======date========2017-06-18T18:30:00.000Z
2017-07-29 22:12:04,205 |http-bio-8080-exec-5 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-29 22:12:04,207 |http-bio-8080-exec-5 |Formula1Helper                |I| =========f1ScheduleMap========={date=2017-06-18T18:30:00.000Z, country=India, race_type_id=MAINRACE, city=Noida, name=Indian Grand Prix, time=2017-06-18T06:00:06.564Z, formula_one_id=1}
2017-07-29 22:12:04,208 |http-bio-8080-exec-5 |Formula1Helper                |I| =======date========2017-06-18T18:30:00.000Z
2017-07-29 22:12:04,209 |http-bio-8080-exec-5 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-29 22:12:04,212 |http-bio-8080-exec-5 |Formula1Helper                |I| Connected database successfully...
2017-07-29 22:12:04,213 |http-bio-8080-exec-5 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-29 22:12:04,213 |http-bio-8080-exec-5 |Formula1Helper                |I| =======date========2017-06-17T18:30:00.000Z
2017-07-29 22:12:04,214 |http-bio-8080-exec-5 |Formula1Helper                |I| =========f1ScheduleMap========={date=2017-06-29T18:30:00.000Z, country=null, race_type_id=MAINRACE, city=null, name=Australian Grand Prix, time=2017-06-20T17:30:45.492Z, formula_one_id=2}
2017-07-29 22:12:04,214 |http-bio-8080-exec-5 |Formula1Helper                |I| =======date========2017-06-29T18:30:00.000Z
2017-07-29 22:12:04,214 |http-bio-8080-exec-3 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-29 22:12:04,216 |http-bio-8080-exec-5 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-29 22:12:04,218 |http-bio-8080-exec-5 |Formula1Helper                |I| Connected database successfully...
2017-07-29 22:12:04,219 |http-bio-8080-exec-5 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-29 22:12:04,224 |http-bio-8080-exec-3 |Formula1Helper                |I| Connected database successfully...
2017-07-29 22:12:04,225 |http-bio-8080-exec-3 |Formula1Helper                |I| Data Fetched Successfully!!
