2017-07-31 21:23:13,789 |http-bio-8080-exec-1 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 21:23:13,789 |http-bio-8080-exec-5 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 21:23:14,055 |http-bio-8080-exec-1 |Formula1Helper                |I| Connected database successfully...
2017-07-31 21:23:14,055 |http-bio-8080-exec-5 |Formula1Helper                |I| Connected database successfully...
2017-07-31 21:23:14,067 |http-bio-8080-exec-5 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 21:23:14,068 |http-bio-8080-exec-5 |Formula1Helper                |I| =========f1ScheduleMap========={date=2017-06-18T18:30:00.000Z, country=India, race_type_id=MAINRACE, city=Noida, name=Indian Grand Prix, time=2017-06-18T06:00:06.564Z, formula_one_id=1}
2017-07-31 21:23:14,068 |http-bio-8080-exec-5 |Formula1Helper                |I| =======date========2017-06-18T18:30:00.000Z
2017-07-31 21:23:14,067 |http-bio-8080-exec-1 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 21:23:14,069 |http-bio-8080-exec-1 |Formula1Helper                |I| =========f1ScheduleMap========={date=2017-06-18T18:30:00.000Z, country=India, race_type_id=MAINRACE, city=Noida, name=Indian Grand Prix, time=2017-06-18T06:00:06.564Z, formula_one_id=1}
2017-07-31 21:23:14,069 |http-bio-8080-exec-1 |Formula1Helper                |I| =======date========2017-06-18T18:30:00.000Z
2017-07-31 21:23:14,070 |http-bio-8080-exec-5 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 21:23:14,071 |http-bio-8080-exec-1 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 21:23:14,072 |http-bio-8080-exec-5 |Formula1Helper                |I| Connected database successfully...
2017-07-31 21:23:14,074 |http-bio-8080-exec-1 |Formula1Helper                |I| Connected database successfully...
2017-07-31 21:23:14,074 |http-bio-8080-exec-5 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 21:23:14,075 |http-bio-8080-exec-5 |Formula1Helper                |I| =======date========2017-06-17T18:30:00.000Z
2017-07-31 21:23:14,075 |http-bio-8080-exec-1 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 21:23:14,075 |http-bio-8080-exec-5 |Formula1Helper                |I| =========f1ScheduleMap========={date=2017-06-29T18:30:00.000Z, country=null, race_type_id=MAINRACE, city=null, name=Australian Grand Prix, time=2017-06-20T17:30:45.492Z, formula_one_id=2}
2017-07-31 21:23:14,076 |http-bio-8080-exec-5 |Formula1Helper                |I| =======date========2017-06-29T18:30:00.000Z
2017-07-31 21:23:14,075 |http-bio-8080-exec-1 |Formula1Helper                |I| =======date========2017-06-17T18:30:00.000Z
2017-07-31 21:23:14,076 |http-bio-8080-exec-1 |Formula1Helper                |I| =========f1ScheduleMap========={date=2017-06-29T18:30:00.000Z, country=null, race_type_id=MAINRACE, city=null, name=Australian Grand Prix, time=2017-06-20T17:30:45.492Z, formula_one_id=2}
2017-07-31 21:23:14,077 |http-bio-8080-exec-1 |Formula1Helper                |I| =======date========2017-06-29T18:30:00.000Z
2017-07-31 21:23:14,077 |http-bio-8080-exec-5 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 21:23:14,079 |http-bio-8080-exec-1 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 21:23:14,079 |http-bio-8080-exec-5 |Formula1Helper                |I| Connected database successfully...
2017-07-31 21:23:14,080 |http-bio-8080-exec-5 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 21:23:14,083 |http-bio-8080-exec-1 |Formula1Helper                |I| Connected database successfully...
2017-07-31 21:23:14,086 |http-bio-8080-exec-1 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 21:23:32,299 |http-bio-8080-exec-5 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 21:23:32,305 |http-bio-8080-exec-5 |Formula1Helper                |I| Connected database successfully...
2017-07-31 21:23:32,299 |http-bio-8080-exec-2 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 21:23:32,306 |http-bio-8080-exec-5 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 21:23:32,307 |http-bio-8080-exec-5 |Formula1Helper                |I| =========f1ScheduleMap========={date=2017-06-18T18:30:00.000Z, country=India, race_type_id=MAINRACE, city=Noida, name=Indian Grand Prix, time=2017-06-18T06:00:06.564Z, formula_one_id=1}
2017-07-31 21:23:32,307 |http-bio-8080-exec-5 |Formula1Helper                |I| =======date========2017-06-18T18:30:00.000Z
2017-07-31 21:23:32,309 |http-bio-8080-exec-5 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 21:23:32,310 |http-bio-8080-exec-2 |Formula1Helper                |I| Connected database successfully...
